Mês/Ano;Estado;Qtd
nov/13;MA;17
dez/13;MA;30
jan/14;MA;23
fev/14;MA;10
mar/14;MA;14
abr/14;MA;10
mai/14;MA;18
jun/14;MA;17
jul/14;MA;26
ago/14;MA;20
set/14;MA;23
out/14;MA;14
nov/14;MA;23
dez/14;MA;11
jan/15;MA;17
fev/15;MA;10
mar/15;MA;13
abr/15;MA;14
mai/15;MA;7
jun/15;MA;17
jul/15;MA;12
ago/15;MA;4
set/15;MA;14
out/15;MA;15
nov/15;MA;11
dez/15;MA;6
jan/16;MA;14
fev/16;MA;18
mar/16;MA;17
abr/16;MA;16
mai/16;MA;15
jun/16;MA;13
jul/16;MA;17
ago/16;MA;19
set/16;MA;23
out/16;MA;18
nov/16;MA;26
dez/16;MA;21
jan/17;MA;25
fev/17;MA;28
mar/17;MA;30
abr/17;MA;18
mai/17;MA;29
jun/17;MA;32
jul/17;MA;27
ago/17;MA;41
set/17;MA;21
out/17;MA;30
nov/17;MA;14
dez/17;MA;28
jan/18;MA;34
fev/18;MA;26
mar/18;MA;33
abr/18;MA;35
mai/18;MA;39
jun/18;MA;30
jul/18;MA;38
ago/18;MA;37
set/18;MA;37
out/18;MA;40
nov/18;MA;35
dez/18;MA;32
jan/19;MA;42
fev/19;MA;35
mar/19;MA;26
abr/19;MA;36
mai/19;MA;49
jun/19;MA;37
jul/19;MA;37
ago/19;MA;58
set/19;MA;64
out/19;MA;71
nov/19;MA;58
dez/19;MA;44
jan/20;MA;56
fev/20;MA;48
mar/20;MA;32
abr/20;MA;6
mai/20;MA;0
jun/20;MA;0
jul/20;MA;0
ago/20;MA;0
set/20;MA;0
out/20;MA;0
nov/20;MA;0
dez/20;MA;4
jan/07;PI;0
fev/07;PI;0
mar/07;PI;1
abr/07;PI;0
mai/07;PI;2
jun/07;PI;3
jul/07;PI;2
ago/07;PI;3
set/07;PI;2
out/07;PI;1
nov/07;PI;4
dez/07;PI;2
jan/08;PI;4
fev/08;PI;3
mar/08;PI;0
abr/08;PI;0
mai/08;PI;4
jun/08;PI;13
jul/08;PI;5
ago/08;PI;8
set/08;PI;8
out/08;PI;6
nov/08;PI;9
dez/08;PI;3
jan/09;PI;3
fev/09;PI;10
mar/09;PI;10
abr/09;PI;6
mai/09;PI;3
jun/09;PI;10
jul/09;PI;9
ago/09;PI;9
set/09;PI;14
out/09;PI;10
nov/09;PI;11
dez/09;PI;19
jan/10;PI;15
fev/10;PI;14
mar/10;PI;9
abr/10;PI;10
mai/10;PI;14
jun/10;PI;11
jul/10;PI;8
ago/10;PI;8
set/10;PI;5
out/10;PI;10
nov/10;PI;12
dez/10;PI;10
jan/11;PI;18
fev/11;PI;8
mar/11;PI;19
